,title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4,query,rank,date,local_image
29,가성비 좋은 회의용의자 사무실 책상의자,https://search.shopping.naver.com/gate.nhn?id=82124616475,https://shopping-phinf.pstatic.net/main_8212461/82124616475.2.jpg,53500,,뷰티즈체어,82124616475,2,,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,30,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_8212461|82124616475.2.jpg
30,린백 LB32HW 사무용 책상 사무실 컴퓨터의자,https://search.shopping.naver.com/gate.nhn?id=23390773490,https://shopping-phinf.pstatic.net/main_2339077/23390773490.20220314101015.jpg,109000,,네이버,23390773490,1,린백,린백,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,31,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_2339077|23390773490.20220314101015.jpg
31,코아스 에르체 메쉬의자 헤드형 OSCH0800HAA,https://search.shopping.naver.com/gate.nhn?id=18004739814,https://shopping-phinf.pstatic.net/main_1800473/18004739814.20201203093753.jpg,243310,,네이버,18004739814,1,코아스,코아스,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,32,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_1800473|18004739814.20201203093753.jpg
32,린백 LB11MS 사무실 컴퓨터 공부 책상 학생 의자,https://search.shopping.naver.com/gate.nhn?id=31148589618,https://shopping-phinf.pstatic.net/main_3114858/31148589618.20230210142302.jpg,41900,,네이버,31148589618,1,린백,린백,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,33,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_3114858|31148589618.20230210142302.jpg
33,리바트하움 부스트 의자,https://search.shopping.naver.com/gate.nhn?id=26251966727,https://shopping-phinf.pstatic.net/main_2625196/26251966727.20210608143757.jpg,73000,,네이버,26251966727,1,리바트하움,현대리바트,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,34,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_2625196|26251966727.20210608143757.jpg
34,별빛의자 메쉬체어 컴퓨터 사무실 의자 색상선택 M-M100,https://search.shopping.naver.com/gate.nhn?id=35740132805,https://shopping-phinf.pstatic.net/main_3574013/35740132805.20230105040805.jpg,279000,,네이버,35740132805,1,별빛의자,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,35,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_3574013|35740132805.20230105040805.jpg
35,HJC 침대형 리클라이너 컴퓨터 의자 사무실 책상 의자,https://search.shopping.naver.com/gate.nhn?id=83598030753,https://shopping-phinf.pstatic.net/main_8359803/83598030753.1.jpg,148000,,HJC체어,83598030753,2,HJC,HJC,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,36,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_8359803|83598030753.1.jpg
36,방석높이 L M H 퀼팅체어 T800PQ 컴퓨터 PC방 중역 사무실 편한 책상 사무용 의자,https://search.shopping.naver.com/gate.nhn?id=82435181951,https://shopping-phinf.pstatic.net/main_8243518/82435181951.26.jpg,296000,,클라우드백,82435181951,2,클라우드백,토이퍼니처,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,37,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_8243518|82435181951.26.jpg
37,"회의실의자 회의용 멀티 사무실 사무용 의자,사무용 다용도 고정 강당 간이의자",https://search.shopping.naver.com/gate.nhn?id=14371524398,https://shopping-phinf.pstatic.net/main_1437152/14371524398.2.jpg,14800,,인천진영가구,14371524398,2,,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,38,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_1437152|14371524398.2.jpg
38,핀란디아 화이트 그레이 책상의자 컴퓨터의자 학생 공부 사무실의자,https://search.shopping.naver.com/gate.nhn?id=80545774338,https://shopping-phinf.pstatic.net/main_8054577/80545774338.11.jpg,65900,,핀란디아가구,80545774338,2,핀란디아,,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,의자,39,2023-02-19 20:01:44.747296,dataset/naver_shopping_query_data/images/2023-02-19T20:01:39/https:||shopping-phinf.pstatic.net|main_8054577|80545774338.11.jpg
